learning_rate,beta_1,beta_2,epsilon,accuracy
0.0005,0.97,0.62,3e-07,0.5448718070983887
0.0003,0.67,0.79,4e-07,0.9273504018783569
0.0005,0.91,0.55,4e-07,0.4594016969203949
0.0007,0.96,0.78,8e-07,0.470085471868515
0.0008,0.68,0.66,6e-07,0.8995726704597473
0.0001,0.82,0.7,6e-07,0.9636752009391785
0.0002,0.8,0.78,8e-07,0.9444444179534912
0.0007,0.5,0.59,6e-07,0.9102563858032227
0.0008,0.5,0.75,8e-07,0.8739316463470459
0.0004,0.75,0.5,4e-07,0.8931623697280884
0.0003,0.62,0.91,3e-07,0.9294871687889099
0.0008,0.92,0.9,8e-07,0.8803418874740601
0.0001,0.81,0.5,4e-07,0.9444444179534912
0.0006,0.89,0.61,2e-07,0.49358972907066345
0.0004,0.67,0.52,2e-07,0.8974359035491943
0.0009,0.56,0.91,6e-07,0.4594016969203949
0.0007,0.6,0.83,3e-07,0.8418803215026855
0.0007,0.65,0.7,4e-07,0.9166666865348816
0.0009,0.59,0.87,6e-07,0.4594016969203949
0.0007,0.51,0.91,3e-07,0.561965823173523
0.0007,0.82,0.51,4e-07,0.557692289352417
0.0006,0.74,0.93,7e-07,0.8739316463470459
0.0001,0.73,0.87,2e-07,0.9551281929016113
0.0003,0.6,0.85,5e-07,0.9252136945724487
0.0008,0.69,0.94,2e-07,0.4594016969203949
0.0008,0.97,0.75,7e-07,0.6794871687889099
0.0008,0.88,0.68,8e-07,0.5961538553237915
0.0003,0.62,0.73,2e-07,0.9337607026100159
0.0006,0.79,0.88,2e-07,0.8931623697280884
0.0007,0.88,0.86,6e-07,0.8568376302719116
0.0008,0.67,0.9,6e-07,0.8397436141967773
0.0002,0.96,0.98,9e-07,0.9551281929016113
0.0008,0.94,0.84,1e-07,0.8525640964508057
0.0007,0.88,0.74,2e-07,0.4615384638309479
0.0004,0.71,0.58,5e-07,0.9273504018783569
0.0005,0.94,0.81,1e-07,0.8696581125259399
0.0007,0.73,0.8,2e-07,0.9358974099159241
0.0005,0.64,0.97,5e-07,0.7863247990608215
0.0003,0.52,0.98,7e-07,0.9230769276618958
0.0003,0.58,0.97,3e-07,0.9123931527137756
0.0008,0.54,0.81,5e-07,0.9123931527137756
0.0006,0.86,0.92,2e-07,0.9294871687889099
0.0006,0.56,0.65,1e-07,0.9252136945724487
0.0005,0.8,0.96,3e-07,0.9123931527137756
0.0006,0.6,0.66,1e-07,0.9337607026100159
0.0004,0.82,0.75,4e-07,0.9252136945724487
0.0007,0.89,0.7,4e-07,0.5982906222343445
0.0003,0.57,0.7,5e-07,0.9294871687889099
0.0002,0.77,0.58,2e-07,0.9188033938407898
0.0005,0.57,0.58,6e-07,0.9038461446762085
0.0007,0.64,0.51,3e-07,0.4594016969203949
0.0006,0.73,0.84,8e-07,0.9059829115867615
0.0009,0.53,0.73,7e-07,0.49358972907066345
0.0003,0.57,0.73,8e-07,0.9166666865348816
0.0004,0.96,0.63,7e-07,0.4594016969203949
0.0001,0.85,0.82,2e-07,0.9529914259910583
0.0004,0.64,0.6,3e-07,0.9230769276618958
