learning_rate,warmup_epochs,mask_period,mem,lr_reg,lambda_reg,precision,layer,interpretability
0.0003,5,2,2,0.001,0.004,0.9837067209775967,5,0.8486046363052043
0.0003,5,2,1,0.001,0.009,0.9816700610997964,4,0.7157520184367677
0.0003,5,2,2,0.001,0.009,0.9837067209775967,4,0.7276837763694497
0.0003,5,2,1,0.004,0.001,0.9714867617107943,4,0.5947046134499221
0.0003,5,2,2,0.004,0.001,0.9877800407331976,5,0.8873161440456439
0.0003,5,2,1,0.004,0.004,0.9837067209775967,4,0.6622977557198753
0.0003,5,2,2,0.004,0.004,0.9816700610997964,5,0.8425812236504667
0.0003,5,2,1,0.004,0.009,0.9837067209775967,5,0.8433315501853549
0.0003,5,2,2,0.004,0.009,0.9857433808553971,5,0.7501201527045291
0.0003,5,2,1,0.009,0.001,0.9877800407331976,5,0.8073091481965656
0.0003,5,2,2,0.009,0.001,0.9816700610997964,4,0.7149313108103067
0.0003,5,2,1,0.009,0.004,0.9837067209775967,4,0.6742266858989764
0.0003,5,2,2,0.009,0.004,0.9837067209775967,4,0.7631527994996495
0.0003,5,2,1,0.009,0.009,0.9796334012219959,4,0.6111766849222037
0.0003,5,2,2,0.009,0.009,0.9837067209775967,4,0.7078495385085734
0.0003,5,4,1,0.001,0.001,0.9755600814663951,5,0.8149571840055038
0.0003,5,4,4,0.001,0.001,0.9857433808553971,5,0.8252712897076321
0.0003,5,4,1,0.001,0.004,0.9857433808553971,4,0.43398252480881694
0.0003,5,4,4,0.001,0.004,0.9837067209775967,4,0.7216336468214166
0.0003,5,4,1,0.001,0.009,0.9837067209775967,4,0.7056555570832376
0.0003,5,4,4,0.001,0.009,0.9857433808553971,4,0.5826198414481173
0.0003,5,4,1,0.004,0.001,0.9877800407331976,5,0.8373908153235257
0.0003,5,4,4,0.004,0.001,0.9816700610997964,5,0.8690615770757282
0.0003,5,4,1,0.004,0.004,0.9837067209775967,4,0.6338434203442794
0.0003,5,4,4,0.004,0.004,0.9837067209775967,4,0.6293448565196947
0.0003,5,4,1,0.004,0.009,0.9837067209775967,4,0.6959573620445557
0.0003,5,4,4,0.004,0.009,0.9816700610997964,5,0.7883509622126824
0.0003,5,4,1,0.009,0.001,0.9816700610997964,4,0.714538910081692
0.0003,5,4,4,0.009,0.001,0.9837067209775967,4,0.5826906952462529
0.0003,5,4,1,0.009,0.004,0.9837067209775967,5,0.8201648772535893
0.0003,5,4,4,0.009,0.004,0.9877800407331976,5,0.786821671539013
0.0003,5,4,1,0.009,0.009,0.9837067209775967,4,0.7261817603582364
0.0003,5,4,4,0.009,0.009,0.9796334012219959,4,0.7345208456036965
0.0003,5,6,1,0.001,0.001,0.9877800407331976,5,0.817704224682448
0.0003,5,6,6,0.001,0.001,0.9837067209775967,4,0.6985608257699493
0.0003,5,6,1,0.001,0.004,0.9837067209775967,4,0.7281168663668396
0.0003,5,6,6,0.001,0.004,0.9877800407331976,4,0.7405913228799613
0.0003,5,6,1,0.001,0.009,0.9837067209775967,4,0.6764870375207941
0.0003,5,6,6,0.001,0.009,0.9857433808553971,5,0.8360623406607695
0.0003,5,6,1,0.004,0.001,0.9796334012219959,4,0.650346823687188
0.0003,5,6,6,0.004,0.001,0.9837067209775967,4,0.7024557873356866
0.0003,5,6,1,0.004,0.004,0.9877800407331976,4,0.6732267721928528
0.0003,5,6,6,0.004,0.004,0.9857433808553971,4,0.4733821472244215
0.0003,5,6,1,0.004,0.009,0.9775967413441955,5,0.6716031682172011
0.0003,5,6,6,0.004,0.009,0.9816700610997964,4,0.6665550212321056
0.0003,5,6,1,0.009,0.001,0.9775967413441955,4,0.5035212102700249
0.0003,5,6,6,0.009,0.001,0.9877800407331976,4,0.7179510190276651
0.0003,5,6,1,0.009,0.004,0.9816700610997964,5,0.7388433563696375
0.0003,5,6,6,0.009,0.004,0.9837067209775967,4,0.733145276060169
0.0003,5,6,1,0.009,0.009,0.9837067209775967,4,0.582583797217666
0.0003,5,6,6,0.009,0.009,0.9877800407331976,5,0.8601291915153553
0.0003,9,2,1,0.001,0.001,0.9837067209775967,4,0.7337351115135857
0.0003,9,2,2,0.001,0.001,0.9898167006109979,5,0.7338353011885124
0.0003,9,2,1,0.001,0.004,0.9837067209775967,5,0.8044222556448376
0.0003,9,2,2,0.001,0.004,0.9837067209775967,5,0.5027577499935103
0.0003,9,2,1,0.001,0.009,0.9837067209775967,4,0.7256936665863976
0.0003,9,2,2,0.001,0.009,0.9837067209775967,4,0.7022994018222073
0.0003,9,2,1,0.004,0.001,0.9796334012219959,5,0.6670519841502814
0.0003,9,2,2,0.004,0.001,0.9816700610997964,4,0.6871065789225107
0.0003,9,2,1,0.004,0.004,0.9837067209775967,5,0.770442386654958
0.0003,9,2,2,0.004,0.004,0.9796334012219959,4,0.6956275497114087
0.0003,9,2,1,0.004,0.009,0.9857433808553971,5,0.7914676687703778
0.0003,9,2,2,0.004,0.009,0.9816700610997964,5,0.8238318694141229
0.0003,9,2,1,0.009,0.001,0.9857433808553971,3,0.3194243996996126
0.0003,9,2,2,0.009,0.001,0.9837067209775967,4,0.6855697427551867
0.0003,9,2,1,0.009,0.004,0.9796334012219959,5,0.6917893114443692
0.0003,9,2,2,0.009,0.004,0.9857433808553971,5,0.808479923723182
0.0003,9,2,1,0.009,0.009,0.9796334012219959,4,0.6401948495583648
0.0003,9,2,2,0.009,0.009,0.9837067209775967,4,0.6255353539521138
0.0003,9,4,1,0.001,0.001,0.9837067209775967,4,0.6420620789783926
0.0003,9,4,4,0.001,0.001,0.9857433808553971,5,0.7945366465234114
0.0003,9,4,1,0.001,0.004,0.9857433808553971,4,0.489133004697024
0.0003,9,4,4,0.001,0.004,0.9877800407331976,4,0.7952252304572185
0.0003,9,4,1,0.001,0.009,0.9837067209775967,4,0.6829213671340124
0.0003,9,4,4,0.001,0.009,0.9877800407331976,4,0.6119717540312237
0.0003,9,4,1,0.004,0.001,0.9857433808553971,4,0.4962773155056763
0.0003,9,4,4,0.004,0.001,0.9816700610997964,5,0.8504510876393067
0.0003,9,4,1,0.004,0.004,0.9837067209775967,4,0.6830586023565589
0.0003,9,4,4,0.004,0.004,0.9877800407331976,5,0.8385349762104595
0.0003,9,4,1,0.004,0.009,0.9837067209775967,4,0.570839735705468
0.0003,9,4,4,0.004,0.009,0.9816700610997964,5,0.6036349484054131
0.0003,9,4,1,0.009,0.001,0.9816700610997964,5,0.7552009283406212
0.0003,9,4,4,0.009,0.001,0.9837067209775967,5,0.6890999959091094
0.0003,9,4,1,0.009,0.004,0.9837067209775967,4,0.6753143001148737
0.0003,9,4,4,0.009,0.004,0.9837067209775967,4,0.5767357118699215
0.0003,9,4,1,0.009,0.009,0.9837067209775967,4,0.7793927071508822
0.0003,9,4,4,0.009,0.009,0.9837067209775967,4,0.5883182753261683
0.0003,9,6,1,0.001,0.001,0.9837067209775967,4,0.2243352179021808
0.0003,9,6,6,0.001,0.001,0.9857433808553971,5,0.7913962988476875
0.0003,9,6,1,0.001,0.004,0.9837067209775967,5,0.7871983311079689
0.0003,9,6,6,0.001,0.004,0.9857433808553971,4,0.2137196230760776
0.0003,9,6,1,0.001,0.009,0.9837067209775967,4,0.6685298938867383
0.0003,9,6,6,0.001,0.009,0.9837067209775967,5,0.7718298628384558
0.0003,9,6,1,0.004,0.001,0.9837067209775967,5,0.7753200310609669
0.0003,9,6,6,0.004,0.001,0.9857433808553971,4,0.7537451476484455
0.0003,9,6,1,0.004,0.004,0.9816700610997964,4,0.608629935632227
0.0003,9,6,6,0.004,0.004,0.9837067209775967,4,0.5763043948955568
0.0003,9,6,1,0.004,0.009,0.9837067209775967,5,0.8348149916720096
0.0003,9,6,6,0.004,0.009,0.9857433808553971,4,0.6134511402136054
0.0003,9,6,1,0.009,0.001,0.9755600814663951,4,0.6261738293193405
0.0003,9,6,6,0.009,0.001,0.9857433808553971,4,0.45610332719398317
0.0003,9,6,1,0.009,0.004,0.9837067209775967,4,0.549068493372244
0.0003,9,6,6,0.009,0.004,0.9918533604887984,4,0.5679539300798077
0.0003,9,6,1,0.009,0.009,0.9877800407331976,4,0.6140585512363919
0.0003,9,6,6,0.009,0.009,0.9877800407331976,4,0.8004179334827007
0.0009,1,2,1,0.001,0.001,0.9735234215885947,4,0.9057946860983918
0.0009,1,2,2,0.001,0.001,0.9735234215885947,5,0.550434230909393
0.0009,1,2,1,0.001,0.004,0.8981670061099797,4,0.950408396165023
0.0009,1,2,2,0.001,0.004,0.9735234215885947,4,0.8172866669707112
0.0009,1,2,1,0.001,0.009,0.9653767820773931,4,0.9196595951602798
0.0009,1,2,2,0.001,0.009,1.0,5,0.33361606222931595
0.0009,1,2,1,0.004,0.001,0.9796334012219959,2,0.17262194950699425
0.0009,1,2,2,0.004,0.001,0.9775967413441955,3,0.7759964619595368
0.0009,1,2,1,0.004,0.004,0.9714867617107943,3,0.9301516032725216
0.0009,1,2,2,0.004,0.004,1.0,1,0.11874861124337374
0.0009,1,2,1,0.004,0.009,0.9511201629327902,4,0.8486753604514489
0.0009,1,2,2,0.004,0.009,0.9755600814663951,0,0.10899904951604053
0.0009,1,2,1,0.009,0.001,0.9898167006109979,6,0.2485085419838384
0.0009,1,2,2,0.009,0.001,0.9816700610997964,4,0.4699744103331802
0.0009,1,2,2,0.009,0.004,0.9796334012219959,3,0.9116878597172392
0.0009,1,2,1,0.009,0.009,0.8329938900203666,5,0.780841587297921
0.0009,1,2,2,0.009,0.009,0.9755600814663951,4,0.46832163921316683
0.0009,1,4,1,0.001,0.001,0.9816700610997964,4,0.8495096677685537
0.0009,1,4,4,0.001,0.001,0.9837067209775967,1,0.12311490981693307
0.0009,1,4,1,0.001,0.004,0.9816700610997964,4,0.8633179797923799
0.0009,1,4,4,0.001,0.004,0.9775967413441955,4,0.8157253610811617
0.0009,1,4,1,0.001,0.009,0.9755600814663951,4,0.5082219319480178
0.0009,1,4,4,0.001,0.009,0.9755600814663951,4,0.7605405980239466
0.0009,1,4,1,0.004,0.001,0.945010183299389,3,0.931889237940397
0.0009,1,4,4,0.004,0.001,0.9816700610997964,3,0.8776912988150776
0.0009,1,4,1,0.004,0.004,0.8370672097759674,1,0.12391507565008712
0.0009,1,4,4,0.004,0.004,0.9816700610997964,4,0.7573643077039796
0.0009,1,4,1,0.004,0.009,0.824847250509165,3,0.696164263458455
0.0009,1,4,4,0.004,0.009,0.9775967413441955,5,0.4569762578651505
0.0009,1,4,1,0.009,0.001,0.6924643584521385,2,0.12044298335355184
0.0009,1,4,4,0.009,0.001,0.9775967413441955,4,0.785081314007159
0.0009,1,4,1,0.009,0.004,0.8411405295315683,3,0.5653895886750336
